"week","daily_recharge_mm","daily_rain_mm","daily_pet_mm","Rain"
2018-05-27,-2.4,0,2.4,"Total Rainfall"
2018-06-03,5.7,13.040000325,7.4,"Total Rainfall"
2018-06-10,17.1,22.797866837,5.7,"Total Rainfall"
2018-06-17,34.5,39.485688951,5,"Total Rainfall"
2018-06-24,2.4,7.47644439,5.1,"Total Rainfall"
2018-07-01,1.7,8.619761901,7,"Total Rainfall"
2018-07-08,7.9,13.63357155,5.8,"Total Rainfall"
2018-07-15,7,15.65333333,8.7,"Total Rainfall"
2018-07-22,5.3,14.949523856,9.6,"Total Rainfall"
2018-07-29,2.4,13.057142899,10.6,"Total Rainfall"
2018-08-05,17.2,29.008666777,11.8,"Total Rainfall"
2018-08-12,4.2,17.034874946,12.8,"Total Rainfall"
2018-08-19,20.3,33.269791509,13,"Total Rainfall"
2018-08-26,-2.2,11.845333471,14.1,"Total Rainfall"
2018-09-02,-10.4,9.987999982,20.3,"Total Rainfall"
2018-09-09,-19.4,5.423931624,24.8,"Total Rainfall"
2018-09-16,-21.4,2.429401627,23.8,"Total Rainfall"
2018-09-23,-14.9,7.199999912,22.1,"Total Rainfall"
2018-09-30,-27.8,0.300000012,28.1,"Total Rainfall"
2018-10-07,-25.1,9.046666749,34.1,"Total Rainfall"
2018-10-14,10.5,42.326667213,31.9,"Total Rainfall"
2018-10-21,-31.1,0,31.1,"Total Rainfall"
2018-10-28,-38.2,2.03999999,40.2,"Total Rainfall"
2018-11-04,24.3,55.186665863,30.9,"Total Rainfall"
2018-11-11,-31.8,6.746666741,38.5,"Total Rainfall"
2018-11-18,69.9,104.645000446,34.7,"Total Rainfall"
2018-11-25,-33.2,1.821666671,35,"Total Rainfall"
2018-12-02,-27.7,20.513333002,48.2,"Total Rainfall"
2018-12-09,9.4,47.745999513,38.3,"Total Rainfall"
2018-12-16,-12.9,17.97400006,30.8,"Total Rainfall"
2018-12-23,-59.1,1.386666654,60.5,"Total Rainfall"
2018-12-30,-43.9,5.639999988,49.6,"Total Rainfall"
2019-01-06,-50.6,1.726666675,52.3,"Total Rainfall"
2019-01-13,-58.1,1.906666668,60,"Total Rainfall"
2019-01-20,-63.9,0,63.9,"Total Rainfall"
2019-01-27,-47.1,9.273333634,56.4,"Total Rainfall"
2019-02-03,-21.4,21.426666444,42.8,"Total Rainfall"
2019-02-10,-37,5.939999962,42.9,"Total Rainfall"
2019-02-17,-41.8,0.73333333,42.5,"Total Rainfall"
2019-02-24,-65.7,0,65.7,"Total Rainfall"
2019-03-03,-38.7,8.926666649,47.6,"Total Rainfall"
2019-03-10,-32.2,2.213333292,34.5,"Total Rainfall"
2019-03-17,-25.6,9.393333375,35,"Total Rainfall"
2019-03-24,12.8,43.758713666,30.9,"Total Rainfall"
2019-03-31,-22.8,2.014619852,24.8,"Total Rainfall"
2019-04-07,-4.7,18.293332926,23,"Total Rainfall"
2019-04-14,-31.4,0.213333338,31.6,"Total Rainfall"
2019-04-21,-4.9,11.253333425,16.1,"Total Rainfall"
2019-04-28,12.6,26.351914929,13.7,"Total Rainfall"
2019-05-05,20.2,29.901418329,9.7,"Total Rainfall"
2019-05-12,-12.8,0,12.8,"Total Rainfall"
2019-05-19,8.1,20.359999837,12.3,"Total Rainfall"
2019-05-26,52.5,56.97365055,4.4,"Total Rainfall"
